School ID,School Name,2016 College Enrollment Rate,Latitude,Longitude
609722,MANLEY HS,30.9,41.87093896,-87.69989559
610244,CLARK HS,57.1,41.87288501,-87.75332487
609678,JONES HS,85.1,41.87306592,-87.62767532
610571,OMBUDSMAN - WEST HS,15.7,41.874673,-87.6878423
609723,MARSHALL HS,43.5,41.87844409,-87.70805007
609755,YOUNG HS,84.1,41.87860253,-87.66423334
400097,NOBLE - BULLS HS,86.3,41.87880881,-87.67819526
610304,PHOENIX MILITARY HS,64.6,41.87911823,-87.68696022
400123,YCCS - SCHOLASTIC ACHIEVEMENT,10.9,41.88044719,-87.7425389
400036,CHICAGO VIRTUAL,45.2,41.88055011,-87.64977248
400119,LEGAL PREP HS,60.4,41.88173276,-87.73377838
400098,NOBLE - MUCHIN HS,89.1,41.88274026,-87.62633828
400133,YCCS - INNOVATIONS,14.3,41.88304717,-87.62773415
610518,AUSTIN CCA HS,43.5,41.88599329,-87.76191637
610334,RABY HS,37.1,41.88621006,-87.71542312
609693,WESTINGHOUSE HS,78.8,41.8899772,-87.70733231
610245,DOUGLASS HS,33.9,41.89036863,-87.76766846
400143,YCCS - WEST TOWN,12.3,41.89080312,-87.7020528
400055,NOBLE - RAUNER HS,85.5,41.89242501,-87.66085887
610529,OGDEN HS,78.8,41.89354764,-87.65940468
610389,ORR HS,48.4,41.89454672,-87.72665959
400127,YCCS - AUSTIN CAREER,10.6,41.89497639,-87.76022118
400053,NOBLE - GOLDER HS,81.1,41.89528219,-87.664483
400056,NOBLE - ROWE CLARK HS,77.3,41.89536226,-87.71804677
609740,WELLS HS,43.6,41.89899471,-87.66748287
400022,CHICAGO ARTS HS,80.4,41.89937657,-87.69494501
400051,NOBLE - NOBLE HS,87.7,41.90019052,-87.66262778
400126,YCCS - ASSOCIATION HOUSE,12.2,41.90157241,-87.70685988
609680,PAYTON HS,82.4,41.90157517,-87.63538477
400144,YCCS - WESTSIDE HOLISTIC,14.0,41.90224003,-87.74881029
609759,CLEMENTE HS,49.4,41.90262579,-87.68690615
400131,YCCS - CAMPOS,28.3,41.9028497,-87.69600602
610580,MAGIC JOHNSON - HUMBOLDT PK HS,9.3,41.90292503,-87.68788899
609691,NORTH-GRAND HS,51.5,41.91167369,-87.73523756
400054,NOBLE - PRITZKER HS,88.1,41.91521411,-87.73012671
609780,MARINE LEADERSHIP AT AMES HS,43.8,41.91604463,-87.72174232
